word,bounds,flag,label,radical,pinyin
山,M,n,O,山,shān
大,E,n,O,大,dà
学,S,x,O,子,xué
孙,B,n,O,子,sūn
≥,M,n,O,UNK,UNK
仙,E,n,O,亻,xiān
纪,B,an,O,纟,jì
念,E,an,O,心,niàn
医,B,n,O,匚,yī
院,E,n,O,阝,yuàn
核,B,n,O,木,hé
医,E,n,O,匚,yī
学,B,n,O,子,xué
科,E,n,O,禾,kē
LB,S,x,O,UNK,UNK
林,B,m,O,木,lín
岩,M,m,O,山,yán
松,M,m,O,木,sōng
SPACE,M,m,O,UNK,UNK
SPACE,M,m,O,UNK,UNK
num,M,m,O,UNK,UNK
num,M,m,O,UNK,UNK
num,M,m,O,UNK,UNK
num,E,m,O,UNK,UNK
num,S,x,O,UNK,UNK
num,S,x,O,UNK,UNK
SPACE,B,n,O,UNK,UNK
中,E,n,O,丨,zhōng
国,B,n,O,囗,guó
医,M,n,O,匚,yī
学,E,n,O,子,xué
科,S,x,O,禾,kē
学,B,nr,O,子,xué
院,E,nr,O,阝,yuàn
、,S,x,O,UNK,UNK
北,S,x,O,匕,běi
京,B,m,B-Drug,亠,jīng
协,M,m,I-Drug,十,xié
和,E,m,I-Drug,口,hé
医,S,x,I-Drug,匚,yī
学,S,x,I-Drug,子,xué
院,S,x,O,阝,yuàn
北,B,v,O,匕,běi
京,E,v,O,亠,jīng
协,B,nrt,B-Disease,十,xié
和,M,nrt,I-Disease,口,hé
医,M,nrt,I-Disease,匚,yī
院,E,nrt,I-Disease,阝,yuàn
核,B,n,I-Disease,木,hé
医,E,n,I-Disease,匚,yī
学,B,n,O,子,xué
科,E,n,O,禾,kē
LB,S,x,O,UNK,UNK
关,S,x,O,丷,guān
海,B,m,O,氵,hǎi
霞,M,m,O,雨,xiá
SPACE,M,m,O,UNK,UNK
SPACE,E,m,O,UNK,UNK
num,S,x,O,UNK,UNK
num,S,n,O,UNK,UNK
num,S,x,O,UNK,UNK
num,S,x,O,UNK,UNK
num,B,nt,O,UNK,UNK
num,M,nt,O,UNK,UNK
SPACE,M,nt,O,UNK,UNK
沈,M,nt,O,氵,shěn
阳,E,nt,O,阝,yáng
sep,sep,sep,sep,sep,sep
中,M,n,O,丨,zhōng
国,E,n,O,囗,guó
医,S,x,O,匚,yī
科,B,n,O,禾,kē
大,M,n,O,大,dà
学,E,n,O,子,xué
第,B,an,O,竹,dì
一,E,an,O,一,yī
医,B,n,O,匚,yī
院,E,n,O,阝,yuàn
内,B,n,O,冂,nèi
分,E,n,O,刀,fēn
泌,B,n,O,氵,mì
科,E,n,O,禾,kē
LB,S,x,O,UNK,UNK
谭,B,m,O,讠,tán
SPACE,M,m,O,UNK,UNK
SPACE,M,m,O,UNK,UNK
建,M,m,O,廴,jiàn
SPACE,M,m,O,UNK,UNK
SPACE,M,m,O,UNK,UNK
num,M,m,O,UNK,UNK
num,M,m,O,UNK,UNK
num,E,m,O,UNK,UNK
num,S,x,O,UNK,UNK
num,S,x,O,UNK,UNK
num,B,n,O,UNK,UNK
SPACE,E,n,O,UNK,UNK
天,B,n,O,大,tiān
津,M,n,O,氵,jīn
医,E,n,O,匚,yī
科,S,x,O,禾,kē
大,B,nr,O,大,dà
学,E,nr,O,子,xué
总,S,x,O,心,zǒng
医,S,x,O,匚,yī
院,B,m,B-Drug,阝,yuàn
核,M,m,I-Drug,木,hé
医,E,m,I-Drug,匚,yī
学,S,x,I-Drug,子,xué
科,S,x,I-Drug,禾,kē
LB,S,x,O,UNK,UNK
李,B,v,O,木,lǐ
SPACE,E,v,O,UNK,UNK
SPACE,B,nrt,B-Disease,UNK,UNK
林,M,nrt,I-Disease,木,lín
SPACE,M,nrt,I-Disease,UNK,UNK
SPACE,E,nrt,I-Disease,UNK,UNK
num,B,n,I-Disease,UNK,UNK
num,E,n,I-Disease,UNK,UNK
num,B,n,O,UNK,UNK
num,E,n,O,UNK,UNK
num,S,x,O,UNK,UNK
num,S,x,O,UNK,UNK
SPACE,B,m,O,UNK,UNK
成,M,m,O,戈,chéng
sep,sep,sep,sep,sep,sep
四,E,n,O,囗,sì
川,S,x,O,川,chuān
大,B,n,O,大,dà
学,M,n,O,子,xué
华,E,n,O,十,huá
西,B,an,O,覀,xī
医,E,an,O,匚,yī
院,B,n,O,阝,yuàn
核,E,n,O,木,hé
sep,sep,sep,sep,sep,sep
LB,S,x,O,UNK,UNK
高,B,n,O,高,gāo
再,M,n,O,冂,zài
荣,E,n,O,艹,róng
SPACE,B,an,O,UNK,UNK
SPACE,E,an,O,UNK,UNK
num,B,n,O,UNK,UNK
num,E,n,O,UNK,UNK
num,B,n,O,UNK,UNK
num,E,n,O,UNK,UNK
num,B,n,O,UNK,UNK
num,E,n,O,UNK,UNK
sep,sep,sep,sep,sep,sep
华,B,n,O,十,huá
中,M,n,O,丨,zhōng
科,E,n,O,禾,kē
技,B,an,O,扌,jì
大,E,an,O,大,dà
学,B,n,O,子,xué
同,E,n,O,口,tóng
济,B,n,O,氵,jì
医,E,n,O,匚,yī
学,B,n,O,子,xué
院,E,n,O,阝,yuàn
附,S,x,O,阝,fù
属,B,m,O,尸,shǔ
协,M,m,O,十,xié
和,M,m,O,口,hé
医,M,m,O,匚,yī
sep,sep,sep,sep,sep,sep
LB,M,n,O,UNK,UNK
陆,E,n,O,阝,lù
汉,B,an,O,氵,hàn
魁,E,an,O,鬼,kuí
SPACE,B,n,O,UNK,UNK
SPACE,E,n,O,UNK,UNK
num,B,n,O,UNK,UNK
num,E,n,O,UNK,UNK
num,B,n,O,UNK,UNK
num,E,n,O,UNK,UNK
num,S,x,O,UNK,UNK
num,B,m,O,UNK,UNK
SPACE,M,m,O,UNK,UNK
上,M,m,O,一,shàng
海,M,m,O,氵,hǎi
交,M,m,O,亠,jiāo
通,M,m,O,辶,tōng
大,M,m,O,大,dà
学,M,m,O,子,xué
附,E,m,O,阝,fù
属,S,x,O,尸,shǔ
第,S,x,O,竹,dì
六,B,n,O,八,liù
人,E,n,O,人,rén
民,B,n,O,乛,mín
sep,sep,sep,sep,sep,sep
LB,E,n,O,UNK,UNK
吴,B,an,O,口,wú
艺,E,an,O,艹,yì
捷,B,n,O,扌,jié
SPACE,E,n,O,UNK,UNK
SPACE,B,n,O,UNK,UNK
num,E,n,O,UNK,UNK
num,B,n,O,UNK,UNK
num,E,n,O,UNK,UNK
num,S,x,O,UNK,UNK
num,B,m,O,UNK,UNK
num,M,m,O,UNK,UNK
SPACE,M,m,O,UNK,UNK
上,M,m,O,一,shàng
海,M,m,O,氵,hǎi
交,M,m,O,亠,jiāo
通,M,m,O,辶,tōng
大,M,m,O,大,dà
学,E,m,O,子,xué
附,S,x,O,阝,fù
属,S,x,O,尸,shǔ
第,B,n,O,竹,dì
一,E,n,O,一,yī
人,B,n,O,人,rén
sep,sep,sep,sep,sep,sep
LB,B,an,O,UNK,UNK
管,E,an,O,竹,guǎn
SPACE,B,n,O,UNK,UNK
SPACE,E,n,O,UNK,UNK
樑,B,n,O,木,liáng
SPACE,E,n,O,UNK,UNK
SPACE,B,n,O,UNK,UNK
num,E,n,O,UNK,UNK
num,S,x,O,UNK,UNK
num,B,m,O,UNK,UNK
num,M,m,O,UNK,UNK
num,M,m,O,UNK,UNK
num,M,m,O,UNK,UNK
SPACE,M,m,O,UNK,UNK
上,M,m,O,一,shàng
海,M,m,O,氵,hǎi
交,M,m,O,亠,jiāo
通,E,m,O,辶,tōng
大,S,x,O,大,dà
学,S,x,O,子,xué
医,B,n,O,匚,yī
学,E,n,O,子,xué
院,B,n,O,阝,yuàn
附,M,n,O,阝,fù
属,E,n,O,尸,shǔ
sep,sep,sep,sep,sep,sep
LB,E,an,O,UNK,UNK
袁,B,n,O,衣,yuán
卫,E,n,O,卩,wèi
红,B,n,O,纟,hóng
SPACE,E,n,O,UNK,UNK
SPACE,B,n,O,UNK,UNK
num,E,n,O,UNK,UNK
num,S,x,O,UNK,UNK
num,B,m,O,UNK,UNK
num,M,m,O,UNK,UNK
num,M,m,O,UNK,UNK
num,M,m,O,UNK,UNK
SPACE,M,m,O,UNK,UNK
昆,M,m,O,日,kūn
明,M,m,O,日,míng
医,M,m,O,匚,yī
科,E,m,O,禾,kē
大,S,x,O,大,dà
学,S,x,O,子,xué
第,B,n,O,竹,dì
sep,sep,sep,sep,sep,sep
LB,B,n,O,UNK,UNK
金,E,n,O,金,jīn
SPACE,B,n,O,UNK,UNK
SPACE,E,n,O,UNK,UNK
刚,B,n,O,刂,gāng
SPACE,E,n,O,UNK,UNK
SPACE,S,x,O,UNK,UNK
num,B,m,O,UNK,UNK
num,M,m,O,UNK,UNK
num,M,m,O,UNK,UNK
num,M,m,O,UNK,UNK
num,M,m,O,UNK,UNK
num,M,m,O,UNK,UNK
SPACE,M,m,O,UNK,UNK
哈,M,m,O,口,hā
尔,E,m,O,小,ěr
滨,S,x,O,氵,bīn
医,S,x,O,匚,yī
科,B,n,O,禾,kē
大,E,n,O,大,dà
学,B,n,O,子,xué
sep,sep,sep,sep,sep,sep
LB,E,n,O,UNK,UNK
包,B,n,O,勹,bāo
建,E,n,O,廴,jiàn
东,B,n,O,一,dōng
SPACE,E,n,O,UNK,UNK
sep,sep,sep,sep,sep,sep
江,B,n,O,氵,jiāng
苏,E,n,O,艹,sū
省,B,n,O,目,shěng
原,E,n,O,厂,yuán
子,S,x,O,子,zǐ
医,B,m,O,匚,yī
学,M,m,O,子,xué
研,M,m,O,石,yán
究,M,m,O,穴,jiū
所,M,m,O,户,suǒ
江,M,m,O,氵,jiāng
原,M,m,O,厂,yuán
医,M,m,O,匚,yī
院,E,m,O,阝,yuàn
sep,sep,sep,sep,sep,sep
LB,E,n,O,UNK,UNK
黄,B,n,O,黄,huáng
SPACE,E,n,O,UNK,UNK
SPACE,S,x,O,UNK,UNK
钢,B,m,O,钅,gāng
SPACE,M,m,O,UNK,UNK
SPACE,M,m,O,UNK,UNK
num,M,m,O,UNK,UNK
num,M,m,O,UNK,UNK
num,M,m,O,UNK,UNK
num,M,m,O,UNK,UNK
num,M,m,O,UNK,UNK
num,E,m,O,UNK,UNK
SPACE,S,x,O,UNK,UNK
上,S,x,O,一,shàng
海,B,n,O,氵,hǎi
交,E,n,O,亠,jiāo
通,B,n,O,辶,tōng
大,M,n,O,大,dà
学,E,n,O,子,xué
sep,sep,sep,sep,sep,sep
LB,B,n,O,UNK,UNK
主,E,n,O,丶,zhǔ
要,S,x,O,覀,yào
缩,B,m,O,纟,suō
写,M,m,O,冖,xiě
注,M,m,O,氵,zhù
sep,sep,sep,sep,sep,sep
LB,E,n,O,UNK,UNK
A,S,x,O,UNK,UNK
T,B,m,O,UNK,UNK
A,M,m,O,UNK,UNK
SPACE,M,m,O,UNK,UNK
A,M,m,O,UNK,UNK
m,M,m,O,UNK,UNK
e,M,m,O,UNK,UNK
r,M,m,O,UNK,UNK
i,M,m,O,UNK,UNK
c,E,m,O,UNK,UNK
a,S,x,O,UNK,UNK
n,S,x,O,UNK,UNK
SPACE,B,n,O,UNK,UNK
T,E,n,O,UNK,UNK
h,B,n,O,UNK,UNK
y,M,n,O,UNK,UNK
r,E,n,O,UNK,UNK
o,S,x,O,UNK,UNK
i,B,nr,O,UNK,UNK
d,E,nr,O,UNK,UNK
SPACE,S,x,O,UNK,UNK
A,S,x,O,UNK,UNK
s,B,m,B-Drug,UNK,UNK
s,M,m,I-Drug,UNK,UNK
o,E,m,I-Drug,UNK,UNK
c,S,x,I-Drug,UNK,UNK
i,S,x,I-Drug,UNK,UNK
a,S,x,O,UNK,UNK
t,B,v,O,UNK,UNK
sep,sep,sep,sep,sep,sep
LB,S,x,O,UNK,UNK
A,B,m,O,UNK,UNK
T,M,m,O,UNK,UNK
D,M,m,O,UNK,UNK
SPACE,M,m,O,UNK,UNK
a,M,m,O,UNK,UNK
n,M,m,O,UNK,UNK
t,M,m,O,UNK,UNK
i,M,m,O,UNK,UNK
t,E,m,O,UNK,UNK
h,S,x,O,UNK,UNK
y,S,x,O,UNK,UNK
r,B,n,O,UNK,UNK
o,E,n,O,UNK,UNK
i,B,n,O,UNK,UNK
d,M,n,O,UNK,UNK
sep,sep,sep,sep,sep,sep
LB,B,m,O,UNK,UNK
A,M,m,O,UNK,UNK
U,M,m,O,UNK,UNK
C,M,m,O,UNK,UNK
SPACE,M,m,O,UNK,UNK
a,M,m,O,UNK,UNK
r,M,m,O,UNK,UNK
e,M,m,O,UNK,UNK
a,E,m,O,UNK,UNK
SPACE,S,x,O,UNK,UNK
u,S,x,O,UNK,UNK
n,B,n,O,UNK,UNK
d,E,n,O,UNK,UNK
e,B,n,O,UNK,UNK
sep,sep,sep,sep,sep,sep
LB,M,m,O,UNK,UNK
C,M,m,O,UNK,UNK
A,M,m,O,UNK,UNK
S,M,m,O,UNK,UNK
SPACE,M,m,O,UNK,UNK
c,M,m,O,UNK,UNK
l,M,m,O,UNK,UNK
i,E,m,O,UNK,UNK
n,S,x,O,UNK,UNK
i,S,x,O,UNK,UNK
c,B,n,O,UNK,UNK
a,E,n,O,UNK,UNK
l,B,n,O,UNK,UNK
SPACE,M,n,O,UNK,UNK
a,E,n,O,UNK,UNK
c,S,x,O,UNK,UNK
t,B,nr,O,UNK,UNK
i,E,nr,O,UNK,UNK
v,S,x,O,UNK,UNK
i,S,x,O,UNK,UNK
t,B,m,B-Drug,UNK,UNK
y,M,m,I-Drug,UNK,UNK
sep,sep,sep,sep,sep,sep
LB,M,m,O,UNK,UNK
E,M,m,O,UNK,UNK
U,M,m,O,UNK,UNK
G,M,m,O,UNK,UNK
O,M,m,O,UNK,UNK
G,M,m,O,UNK,UNK
O,E,m,O,UNK,UNK
SPACE,S,x,O,UNK,UNK
E,S,x,O,UNK,UNK
u,B,n,O,UNK,UNK
r,E,n,O,UNK,UNK
o,B,n,O,UNK,UNK
p,M,n,O,UNK,UNK
e,E,n,O,UNK,UNK
a,S,x,O,UNK,UNK
n,B,nr,O,UNK,UNK
SPACE,E,nr,O,UNK,UNK
G,S,x,O,UNK,UNK
r,S,x,O,UNK,UNK
o,B,m,B-Drug,UNK,UNK
u,M,m,I-Drug,UNK,UNK
p,E,m,I-Drug,UNK,UNK
SPACE,S,x,I-Drug,UNK,UNK
o,S,x,I-Drug,UNK,UNK
n,S,x,O,UNK,UNK
SPACE,B,v,O,UNK,UNK
G,E,v,O,UNK,UNK
r,B,nrt,B-Disease,UNK,UNK
a,M,nrt,I-Disease,UNK,UNK
v,M,nrt,I-Disease,UNK,UNK
e,E,nrt,I-Disease,UNK,UNK
s,B,n,I-Disease,UNK,UNK
SPACE,E,n,I-Disease,UNK,UNK
O,B,n,O,UNK,UNK
r,E,n,O,UNK,UNK
b,S,x,O,UNK,UNK
i,S,x,O,UNK,UNK
t,B,m,O,UNK,UNK
o,M,m,O,UNK,UNK
p,M,m,O,UNK,UNK
a,E,m,O,UNK,UNK
sep,sep,sep,sep,sep,sep
LB,M,m,O,UNK,UNK
G,M,m,O,UNK,UNK
D,M,m,O,UNK,UNK
SPACE,M,m,O,UNK,UNK
G,M,m,O,UNK,UNK
r,E,m,O,UNK,UNK
a,S,x,O,UNK,UNK
v,S,x,O,UNK,UNK
sep,sep,sep,sep,sep,sep
LB,M,m,O,UNK,UNK
G,M,m,O,UNK,UNK
O,M,m,O,UNK,UNK
SPACE,M,m,O,UNK,UNK
G,E,m,O,UNK,UNK
r,S,x,O,UNK,UNK
a,S,x,O,UNK,UNK
v,B,n,O,UNK,UNK
e,E,n,O,UNK,UNK
s,B,n,O,UNK,UNK
SPACE,M,n,O,UNK,UNK
o,E,n,O,UNK,UNK
p,S,x,O,UNK,UNK
h,B,nr,O,UNK,UNK
t,E,nr,O,UNK,UNK
sep,sep,sep,sep,sep,sep
LB,M,m,O,UNK,UNK
F,M,m,O,UNK,UNK
T,M,m,O,UNK,UNK
num,E,m,O,UNK,UNK
SPACE,S,x,O,UNK,UNK
f,S,x,O,UNK,UNK
r,B,n,O,UNK,UNK
e,E,n,O,UNK,UNK
e,B,n,O,UNK,UNK
SPACE,M,n,O,UNK,UNK
t,E,n,O,UNK,UNK
r,S,x,O,UNK,UNK
i,B,nr,O,UNK,UNK
i,E,nr,O,UNK,UNK
o,S,x,O,UNK,UNK
d,S,x,O,UNK,UNK
o,B,m,B-Drug,UNK,UNK
t,M,m,I-Drug,UNK,UNK
h,E,m,I-Drug,UNK,UNK
sep,sep,sep,sep,sep,sep
LB,M,m,O,UNK,UNK
F,M,m,O,UNK,UNK
T,E,m,O,UNK,UNK
num,S,x,O,UNK,UNK
SPACE,S,x,O,UNK,UNK
f,B,n,O,UNK,UNK
r,E,n,O,UNK,UNK
sep,sep,sep,sep,sep,sep
LB,M,m,O,UNK,UNK
L,E,m,O,UNK,UNK
-,S,x,O,UNK,UNK
T,S,x,O,UNK,UNK
num,B,n,O,UNK,UNK
SPACE,E,n,O,UNK,UNK
l,B,n,O,UNK,UNK
sep,sep,sep,sep,sep,sep
LB,E,m,O,UNK,UNK
N,S,x,O,UNK,UNK
I,S,x,O,UNK,UNK
S,B,n,O,UNK,UNK
SPACE,E,n,O,UNK,UNK
s,B,n,O,UNK,UNK
o,M,n,O,UNK,UNK
d,E,n,O,UNK,UNK
i,S,x,O,UNK,UNK
u,B,nr,O,UNK,UNK
m,E,nr,O,UNK,UNK
SPACE,S,x,O,UNK,UNK
/,S,x,O,UNK,UNK
SPACE,B,m,B-Drug,UNK,UNK
i,M,m,I-Drug,UNK,UNK
o,E,m,I-Drug,UNK,UNK
d,S,x,I-Drug,UNK,UNK
i,S,x,I-Drug,UNK,UNK
sep,sep,sep,sep,sep,sep
LB,S,x,O,UNK,UNK
R,S,x,O,UNK,UNK
A,B,n,O,UNK,UNK
I,E,n,O,UNK,UNK
U,B,n,O,UNK,UNK
SPACE,M,n,O,UNK,UNK
r,E,n,O,UNK,UNK
a,S,x,O,UNK,UNK
d,B,nr,O,UNK,UNK
i,E,nr,O,UNK,UNK
o,S,x,O,UNK,UNK
a,S,x,O,UNK,UNK
c,B,m,B-Drug,UNK,UNK
t,M,m,I-Drug,UNK,UNK
i,E,m,I-Drug,UNK,UNK
v,S,x,I-Drug,UNK,UNK
e,S,x,I-Drug,UNK,UNK
SPACE,S,x,O,UNK,UNK
i,B,v,O,UNK,UNK
o,E,v,O,UNK,UNK
d,B,nrt,B-Disease,UNK,UNK
sep,sep,sep,sep,sep,sep
LB,S,x,O,UNK,UNK
T,B,n,O,UNK,UNK
num,E,n,O,UNK,UNK
SPACE,B,n,O,UNK,UNK
t,M,n,O,UNK,UNK
r,E,n,O,UNK,UNK
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
LB,E,n,O,UNK,UNK
T,B,n,O,UNK,UNK
A,M,n,O,UNK,UNK
O,E,n,O,UNK,UNK
SPACE,S,x,O,UNK,UNK
t,B,nr,O,UNK,UNK
h,E,nr,O,UNK,UNK
y,S,x,O,UNK,UNK
r,S,x,O,UNK,UNK
o,B,m,B-Drug,UNK,UNK
i,M,m,I-Drug,UNK,UNK
d,E,m,I-Drug,UNK,UNK
SPACE,S,x,I-Drug,UNK,UNK
a,S,x,I-Drug,UNK,UNK
s,S,x,O,UNK,UNK
s,B,v,O,UNK,UNK
o,E,v,O,UNK,UNK
c,B,nrt,B-Disease,UNK,UNK
i,M,nrt,I-Disease,UNK,UNK
a,M,nrt,I-Disease,UNK,UNK
t,E,nrt,I-Disease,UNK,UNK
e,B,n,I-Disease,UNK,UNK
sep,sep,sep,sep,sep,sep
LB,B,n,O,UNK,UNK
T,M,n,O,UNK,UNK
B,E,n,O,UNK,UNK
G,S,x,O,UNK,UNK
SPACE,B,nr,O,UNK,UNK
t,E,nr,O,UNK,UNK
h,S,x,O,UNK,UNK
y,S,x,O,UNK,UNK
r,B,m,B-Drug,UNK,UNK
o,M,m,I-Drug,UNK,UNK
x,E,m,I-Drug,UNK,UNK
i,S,x,I-Drug,UNK,UNK
n,S,x,I-Drug,UNK,UNK
e,S,x,O,UNK,UNK
SPACE,B,v,O,UNK,UNK
sep,sep,sep,sep,sep,sep
LB,M,n,O,UNK,UNK
T,E,n,O,UNK,UNK
g,S,x,O,UNK,UNK
A,B,nr,O,UNK,UNK
b,E,nr,O,UNK,UNK
SPACE,S,x,O,UNK,UNK
t,S,x,O,UNK,UNK
h,B,m,B-Drug,UNK,UNK
y,M,m,I-Drug,UNK,UNK
r,E,m,I-Drug,UNK,UNK
sep,sep,sep,sep,sep,sep
LB,E,n,O,UNK,UNK
T,S,x,O,UNK,UNK
P,B,nr,O,UNK,UNK
O,E,nr,O,UNK,UNK
A,S,x,O,UNK,UNK
b,S,x,O,UNK,UNK
SPACE,B,m,B-Drug,UNK,UNK
t,M,m,I-Drug,UNK,UNK
h,E,m,I-Drug,UNK,UNK
y,S,x,I-Drug,UNK,UNK
r,S,x,I-Drug,UNK,UNK
o,S,x,O,UNK,UNK
i,B,v,O,UNK,UNK
d,E,v,O,UNK,UNK
SPACE,B,nrt,B-Disease,UNK,UNK
p,M,nrt,I-Disease,UNK,UNK
e,M,nrt,I-Disease,UNK,UNK
sep,sep,sep,sep,sep,sep
LB,S,x,O,UNK,UNK
T,B,nr,O,UNK,UNK
R,E,nr,O,UNK,UNK
A,S,x,O,UNK,UNK
b,S,x,O,UNK,UNK
SPACE,B,m,B-Drug,UNK,UNK
t,M,m,I-Drug,UNK,UNK
h,E,m,I-Drug,UNK,UNK
y,S,x,I-Drug,UNK,UNK
r,S,x,I-Drug,UNK,UNK
o,S,x,O,UNK,UNK
t,B,v,O,UNK,UNK
r,E,v,O,UNK,UNK
o,B,nrt,B-Disease,UNK,UNK
p,M,nrt,I-Disease,UNK,UNK
h,M,nrt,I-Disease,UNK,UNK
i,E,nrt,I-Disease,UNK,UNK
n,B,n,I-Disease,UNK,UNK
sep,sep,sep,sep,sep,sep
LB,B,nr,O,UNK,UNK
T,E,nr,O,UNK,UNK
S,S,x,O,UNK,UNK
A,S,x,O,UNK,UNK
b,B,m,B-Drug,UNK,UNK
SPACE,M,m,I-Drug,UNK,UNK
t,E,m,I-Drug,UNK,UNK
h,S,x,I-Drug,UNK,UNK
y,S,x,I-Drug,UNK,UNK
r,S,x,O,UNK,UNK
o,B,v,O,UNK,UNK
i,E,v,O,UNK,UNK
d,B,nrt,B-Disease,UNK,UNK
sep,sep,sep,sep,sep,sep
LB,E,nr,O,UNK,UNK
T,S,x,O,UNK,UNK
S,S,x,O,UNK,UNK
H,B,m,B-Drug,UNK,UNK
SPACE,M,m,I-Drug,UNK,UNK
t,E,m,I-Drug,UNK,UNK
h,S,x,I-Drug,UNK,UNK
y,S,x,I-Drug,UNK,UNK
sep,sep,sep,sep,sep,sep
LB,S,x,O,UNK,UNK
T,S,x,O,UNK,UNK
T,B,m,B-Drug,UNK,UNK
num,M,m,I-Drug,UNK,UNK
SPACE,E,m,I-Drug,UNK,UNK
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
而,S,x,O,而,ér
是,S,x,O,日,shì
针,B,m,O,钅,zhēn
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
sep,sep,sep,sep,sep,sep
